1,What is the tallest mountain in Aruba?,SELECT DISTINCT ?uri WHERE {?uri <http://www.w3.org/1999/02/22-rdf-syntax-ns#type> <http://dbpedia.org/ontology/Mountain> .       ?uri <http://dbpedia.org/ontology/locatedInArea> <http://dbpedia.org/resource/Aruba> .        ?uri <http://dbpedia.org/ontology/elevation> ?elevation .} ORDER BY DESC(?elevation) LIMIT 1,Mount Jamanota,GradableAdjective
2,What is the highest mountain in Aruba?,SELECT DISTINCT ?uri WHERE {?uri <http://www.w3.org/1999/02/22-rdf-syntax-ns#type> <http://dbpedia.org/ontology/Mountain> .       ?uri <http://dbpedia.org/ontology/locatedInArea> <http://dbpedia.org/resource/Aruba> .        ?uri <http://dbpedia.org/ontology/elevation> ?elevation .} ORDER BY DESC(?elevation) LIMIT 1,Mount Jamanota,GradableAdjective
3,the tallest mountain in Aruba,SELECT DISTINCT ?uri WHERE {?uri <http://www.w3.org/1999/02/22-rdf-syntax-ns#type> <http://dbpedia.org/ontology/Mountain> .       ?uri <http://dbpedia.org/ontology/locatedInArea> <http://dbpedia.org/resource/Aruba> .        ?uri <http://dbpedia.org/ontology/elevation> ?elevation .} ORDER BY DESC(?elevation) LIMIT 1,Mount Jamanota,GradableAdjective
4,the highest mountain in Aruba,SELECT DISTINCT ?uri WHERE {?uri <http://www.w3.org/1999/02/22-rdf-syntax-ns#type> <http://dbpedia.org/ontology/Mountain> .       ?uri <http://dbpedia.org/ontology/locatedInArea> <http://dbpedia.org/resource/Aruba> .        ?uri <http://dbpedia.org/ontology/elevation> ?elevation .} ORDER BY DESC(?elevation) LIMIT 1,Mount Jamanota,GradableAdjective
7,What is the tallest mountain in Angola?,SELECT DISTINCT ?uri WHERE {?uri <http://www.w3.org/1999/02/22-rdf-syntax-ns#type> <http://dbpedia.org/ontology/Mountain> .       ?uri <http://dbpedia.org/ontology/locatedInArea> <http://dbpedia.org/resource/Angola> .        ?uri <http://dbpedia.org/ontology/elevation> ?elevation .} ORDER BY DESC(?elevation) LIMIT 1,Mount Moco,GradableAdjective
8,What is the highest mountain in Angola?,SELECT DISTINCT ?uri WHERE {?uri <http://www.w3.org/1999/02/22-rdf-syntax-ns#type> <http://dbpedia.org/ontology/Mountain> .       ?uri <http://dbpedia.org/ontology/locatedInArea> <http://dbpedia.org/resource/Angola> .        ?uri <http://dbpedia.org/ontology/elevation> ?elevation .} ORDER BY DESC(?elevation) LIMIT 1,Mount Moco,GradableAdjective
9,the tallest mountain in Angola,SELECT DISTINCT ?uri WHERE {?uri <http://www.w3.org/1999/02/22-rdf-syntax-ns#type> <http://dbpedia.org/ontology/Mountain> .       ?uri <http://dbpedia.org/ontology/locatedInArea> <http://dbpedia.org/resource/Angola> .        ?uri <http://dbpedia.org/ontology/elevation> ?elevation .} ORDER BY DESC(?elevation) LIMIT 1,Mount Moco,GradableAdjective
10,the highest mountain in Angola,SELECT DISTINCT ?uri WHERE {?uri <http://www.w3.org/1999/02/22-rdf-syntax-ns#type> <http://dbpedia.org/ontology/Mountain> .       ?uri <http://dbpedia.org/ontology/locatedInArea> <http://dbpedia.org/resource/Angola> .        ?uri <http://dbpedia.org/ontology/elevation> ?elevation .} ORDER BY DESC(?elevation) LIMIT 1,Mount Moco,GradableAdjective
13,What is the tallest mountain in Albania?,SELECT DISTINCT ?uri WHERE {?uri <http://www.w3.org/1999/02/22-rdf-syntax-ns#type> <http://dbpedia.org/ontology/Mountain> .       ?uri <http://dbpedia.org/ontology/locatedInArea> <http://dbpedia.org/resource/Albania> .        ?uri <http://dbpedia.org/ontology/elevation> ?elevation .} ORDER BY DESC(?elevation) LIMIT 1,Korab (mountain),GradableAdjective
14,What is the highest mountain in Albania?,SELECT DISTINCT ?uri WHERE {?uri <http://www.w3.org/1999/02/22-rdf-syntax-ns#type> <http://dbpedia.org/ontology/Mountain> .       ?uri <http://dbpedia.org/ontology/locatedInArea> <http://dbpedia.org/resource/Albania> .        ?uri <http://dbpedia.org/ontology/elevation> ?elevation .} ORDER BY DESC(?elevation) LIMIT 1,Korab (mountain),GradableAdjective
