"1","Give me the longest automobile in the world?","SELECT DISTINCT ?subjOfProp WHERE {   ?subjOfProp <http://dbpedia.org/ontology/length> ?objOfProp . ?subjOfProp <http://www.w3.org/1999/02/22-rdf-syntax-ns#type> <http://dbpedia.org/ontology/Automobile>} ORDER BY ASC(?objOfProp) OFFSET 0 LIMIT 1","Shuanghuan Noble"
"2","Tell me the longest automobile in the world?","SELECT DISTINCT ?subjOfProp WHERE {   ?subjOfProp <http://dbpedia.org/ontology/length> ?objOfProp . ?subjOfProp <http://www.w3.org/1999/02/22-rdf-syntax-ns#type> <http://dbpedia.org/ontology/Automobile>} ORDER BY ASC(?objOfProp) OFFSET 0 LIMIT 1","Shuanghuan Noble"
"3","What is the longest automobile in the world?","SELECT DISTINCT ?subjOfProp WHERE {   ?subjOfProp <http://dbpedia.org/ontology/length> ?objOfProp . ?subjOfProp <http://www.w3.org/1999/02/22-rdf-syntax-ns#type> <http://dbpedia.org/ontology/Automobile>} ORDER BY ASC(?objOfProp) OFFSET 0 LIMIT 1","Shuanghuan Noble"
"4","What was the longest automobile in the world?","SELECT DISTINCT ?subjOfProp WHERE {   ?subjOfProp <http://dbpedia.org/ontology/length> ?objOfProp . ?subjOfProp <http://www.w3.org/1999/02/22-rdf-syntax-ns#type> <http://dbpedia.org/ontology/Automobile>} ORDER BY ASC(?objOfProp) OFFSET 0 LIMIT 1","Shuanghuan Noble"
"11","the longest automobile in the world","SELECT DISTINCT ?subjOfProp WHERE {   ?subjOfProp <http://dbpedia.org/ontology/length> ?objOfProp . ?subjOfProp <http://www.w3.org/1999/02/22-rdf-syntax-ns#type> <http://dbpedia.org/ontology/Automobile>} ORDER BY ASC(?objOfProp) OFFSET 0 LIMIT 1","Shuanghuan Noble"
"18","Give me the longest body of water in the world?","SELECT DISTINCT ?subjOfProp WHERE {   ?subjOfProp <http://dbpedia.org/ontology/length> ?objOfProp . ?subjOfProp <http://www.w3.org/1999/02/22-rdf-syntax-ns#type> <http://dbpedia.org/ontology/BodyOfWater>} ORDER BY ASC(?objOfProp) OFFSET 0 LIMIT 1","Talbot Lake (Petite rivière Pikauba)"
"19","Tell me the longest body of water in the world?","SELECT DISTINCT ?subjOfProp WHERE {   ?subjOfProp <http://dbpedia.org/ontology/length> ?objOfProp . ?subjOfProp <http://www.w3.org/1999/02/22-rdf-syntax-ns#type> <http://dbpedia.org/ontology/BodyOfWater>} ORDER BY ASC(?objOfProp) OFFSET 0 LIMIT 1","Talbot Lake (Petite rivière Pikauba)"
"20","What is the longest body of water in the world?","SELECT DISTINCT ?subjOfProp WHERE {   ?subjOfProp <http://dbpedia.org/ontology/length> ?objOfProp . ?subjOfProp <http://www.w3.org/1999/02/22-rdf-syntax-ns#type> <http://dbpedia.org/ontology/BodyOfWater>} ORDER BY ASC(?objOfProp) OFFSET 0 LIMIT 1","Talbot Lake (Petite rivière Pikauba)"
"21","What was the longest body of water in the world?","SELECT DISTINCT ?subjOfProp WHERE {   ?subjOfProp <http://dbpedia.org/ontology/length> ?objOfProp . ?subjOfProp <http://www.w3.org/1999/02/22-rdf-syntax-ns#type> <http://dbpedia.org/ontology/BodyOfWater>} ORDER BY ASC(?objOfProp) OFFSET 0 LIMIT 1","Talbot Lake (Petite rivière Pikauba)"
"24","Give me the longest body of water in Germany?","SELECT DISTINCT ?subjOfProp WHERE {   ?subjOfProp <http://dbpedia.org/ontology/length> ?objOfProp . ?subjOfProp <http://dbpedia.org/ontology/country> <http://dbpedia.org/resource/Germany> . ?subjOfProp <http://www.w3.org/1999/02/22-rdf-syntax-ns#type> <http://dbpedia.org/ontology/BodyOfWater>} ORDER BY ASC(?objOfProp) OFFSET 0 LIMIT 1","Latschensee"
"25","Tell me the longest body of water in Germany?","SELECT DISTINCT ?subjOfProp WHERE {   ?subjOfProp <http://dbpedia.org/ontology/length> ?objOfProp . ?subjOfProp <http://dbpedia.org/ontology/country> <http://dbpedia.org/resource/Germany> . ?subjOfProp <http://www.w3.org/1999/02/22-rdf-syntax-ns#type> <http://dbpedia.org/ontology/BodyOfWater>} ORDER BY ASC(?objOfProp) OFFSET 0 LIMIT 1","Latschensee"
"26","What is the longest body of water in Germany?","SELECT DISTINCT ?subjOfProp WHERE {   ?subjOfProp <http://dbpedia.org/ontology/length> ?objOfProp . ?subjOfProp <http://dbpedia.org/ontology/country> <http://dbpedia.org/resource/Germany> . ?subjOfProp <http://www.w3.org/1999/02/22-rdf-syntax-ns#type> <http://dbpedia.org/ontology/BodyOfWater>} ORDER BY ASC(?objOfProp) OFFSET 0 LIMIT 1","Latschensee"
"27","What was the longest body of water in Germany?","SELECT DISTINCT ?subjOfProp WHERE {   ?subjOfProp <http://dbpedia.org/ontology/length> ?objOfProp . ?subjOfProp <http://dbpedia.org/ontology/country> <http://dbpedia.org/resource/Germany> . ?subjOfProp <http://www.w3.org/1999/02/22-rdf-syntax-ns#type> <http://dbpedia.org/ontology/BodyOfWater>} ORDER BY ASC(?objOfProp) OFFSET 0 LIMIT 1","Latschensee"
"30","Give me the longest body of water in Spain?","SELECT DISTINCT ?subjOfProp WHERE {   ?subjOfProp <http://dbpedia.org/ontology/length> ?objOfProp . ?subjOfProp <http://dbpedia.org/ontology/country> <http://dbpedia.org/resource/Spain> . ?subjOfProp <http://www.w3.org/1999/02/22-rdf-syntax-ns#type> <http://dbpedia.org/ontology/BodyOfWater>} ORDER BY ASC(?objOfProp) OFFSET 0 LIMIT 1","Cinqueta"
"31","Tell me the longest body of water in Spain?","SELECT DISTINCT ?subjOfProp WHERE {   ?subjOfProp <http://dbpedia.org/ontology/length> ?objOfProp . ?subjOfProp <http://dbpedia.org/ontology/country> <http://dbpedia.org/resource/Spain> . ?subjOfProp <http://www.w3.org/1999/02/22-rdf-syntax-ns#type> <http://dbpedia.org/ontology/BodyOfWater>} ORDER BY ASC(?objOfProp) OFFSET 0 LIMIT 1","Cinqueta"
"32","What is the longest body of water in Spain?","SELECT DISTINCT ?subjOfProp WHERE {   ?subjOfProp <http://dbpedia.org/ontology/length> ?objOfProp . ?subjOfProp <http://dbpedia.org/ontology/country> <http://dbpedia.org/resource/Spain> . ?subjOfProp <http://www.w3.org/1999/02/22-rdf-syntax-ns#type> <http://dbpedia.org/ontology/BodyOfWater>} ORDER BY ASC(?objOfProp) OFFSET 0 LIMIT 1","Cinqueta"
